Player Tag,2024-08-26,2024-08-18,2024-08-11,2024-08-05,2024-07-28,2024-07-21,2024-07-14,2024-07-07,2024-06-30,2024-06-24,2024-06-17,2024-06-10,2024-06-03,2024-05-26,2024-05-19,2024-05-12,2024-05-05,2024-04-28,2024-04-21,2024-04-14,2024-04-07,2024-03-31,2024-03-24,2024-03-17,2024-03-10,2024-03-03,2024-02-18,2024-02-11,2024-02-04,2024-01-28,2024-01-21,2024-01-14,2024-01-07,2023-12-31
akp,481,0,12,211,12,25,178,13,9,8,507,25,2353,506,1282,1263,982,863,464,902,1294,13,352,927,871,2267,769,647,2676,430,2771,1298,1683,1120
Ami,3309,4376,1457,3349,3288,1236,1890,258,1776,23,8,1611,1636,7,1476,1596,1290,1946,4268,1300,647,2597,2676,2494,6191,2801,5007,3223,6888,4389,5486,3015,1679,2303
BurpALot,1105,409,866,543,586,1841,627,843,875,713,629,615,864,337,1194,1754,803,746,910,1509,1211,987,792,890,0,424,54,342,325,504,312,334,276,350
cariann,1740,797,1239,1072,1028,577,1674,1004,2041,1661,832,1243,1174,1107,1217,2111,1345,1510,1046,637,775,725,512,1152,538,917,497,1073,622,523,715,536,0,573
Cheech,471,444,4027,3309,432,888,1426,1029,2149,1171,2281,1394,1003,11,1251,1723,954,436,1052,1852,427,1152,1493,1052,474,913,686,666,907,1058,766,1426,1045,1192
chibong,1089,2505,1440,1690,1651,1155,636,1744,1975,3078,2002,1387,4295,2021,3542,4102,2535,3727,4574,4310,4765,3089,368,0,802,0,0,0,0,0,0,0,,
Daman,128,160,67,130,178,0,46,158,38,0,143,141,174,267,132,124,,,,,,,,,,,,,,,,,,
Dewey,5336,4566,5722,4919,5011,4571,4099,4597,4667,3441,4097,4012,4983,3157,5011,4208,4477,5242,4054,4078,5229,4074,4013,4108,3003,2629,3120,3299,3837,3528,4035,3553,2725,3565
Dzkitty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,118,188,,183,190,0,205,653,0,140,174,47,340,172,126,575,433,178
Elen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4403,3621,5253,8575,4521,5311,4847,4754,1505
ell,0,0,18,0,0,115,0,14,155,677,5,517,1000,1272,11,2257,525,1234,911,9,556,0,0,13,655,454,0,0,182,,,,,
flash,260,155,69,465,275,182,350,675,9,274,0,358,483,751,22,145,0,444,133,622,655,132,578,961,0,0,,,,,,,,
Gardener,4030,2623,3009,2473,3116,3160,2135,152,2872,3034,3053,4091,2864,1593,2853,3272,3783,3109,3382,3533,3049,2960,3434,2842,3389,2209,3096,2299,3448,3386,3013,2646,2040,2204
giddyupjenny,487,1054,356,931,690,509,590,2904,964,0,656,762,45,152,233,71,57,693,73,0,174,741,817,847,750,1065,,,,,,,,
Goose,1269,1197,1351,70,1586,1314,1492,1643,1427,1255,1691,880,2130,1347,1642,1399,962,1380,1243,1242,1821,1678,1710,1341,1588,1558,1428,0,1577,1850,3097,142,1587,1621
Grandmaphyll,1731,948,1383,1265,1246,1855,2024,2641,502,380,9,1232,1221,1028,1240,689,2019,1449,928,2671,1329,1576,966,599,1406,1309,206,532,668,556,621,703,1293,574
Hobbes,0,0,96,0,0,0,0,78,0,0,0,0,41,164,0,296,0,0,52,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0
hunny,199,41,256,90,291,104,0,152,120,129,30,437,218,237,130,160,64,288,200,164,185,389,325,459,426,464,,,,,,,,
jay,3313,3134,1990,1933,1841,2977,2841,1421,2144,1526,883,2123,,,,,,,,,,,,,,,,,,,,,,
jet542jet,0,0,0,24,90,221,216,0,232,813,1462,,,,,,,,,,,,,,,,,,,,,,,
JoCo,4092,2841,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jon,352,488,360,262,557,7,0,529,0,132,586,559,1599,1036,528,487,345,414,47,128,651,201,1577,0,1683,933,1310,973,1076,901,795,951,1325,53
justme,257,241,110,374,193,171,64,174,38,313,66,269,496,192,369,277,307,204,170,239,208,165,225,106,226,266,,,,,,,,
Laura,693,567,665,680,1687,534,669,1099,1298,796,1465,976,1284,249,844,1682,1505,1027,1269,1570,1541,821,658,1277,865,992,2017,1133,1287,1178,927,882,645,1094
Mar,4247,2380,3905,2414,3667,4249,4121,3161,3182,4743,3898,4271,3794,3707,3931,4667,4302,4241,3623,4104,3730,4580,4095,2495,,,,,,,,,,
Marbl,1777,0,1293,1036,1393,1146,1448,1105,1887,1704,1808,1638,1507,1329,2050,,,,,,,,,,,,,,,,,,,
Merlot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
mike,893,1014,0,1206,1655,1613,937,1210,1113,901,1179,1456,1480,1169,1211,1478,1632,1149,958,1436,1867,1257,1257,1342,1574,1468,1225,1112,1347,939,914,1056,877,1419
Murphy,2088,28,1571,1516,29,1838,12,23,27,487,3832,1202,2371,1617,1439,11,1409,1739,1141,1824,22,808,25,1723,2495,1357,958,0,2508,16,2327,1341,1349,731
Nirazz,57,94,84,0,141,0,232,135,366,419,197,0,114,157,25,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63
nvk,615,110,424,608,12,582,125,48,92,406,216,407,509,57,619,571,653,586,835,208,195,420,223,643,901,353,318,198,91,834,0,341,93,83
Pop,1527,443,109,1767,0,3,704,902,0,3186,375,1132,1094,2312,2953,2794,3204,3102,3493,2711,3913,4010,6412,2924,1937,3564,1906,4645,4142,2147,420,497,818,455
