player_tag,is_active,join_date,leave_date
Hobbes,0,2001-01-01,
tedbilly,1,2018-01-01,
akp,1,,
Ami,1,,
BurpALot,1,,
cariann,1,,
Cheech,1,,
chibong,1,,
Daman,1,,
Dewey,1,,
Dzkitty,0,,
Elen,0,,
ell,0,,
flash,1,,
Gardener,1,,
giddyupjenny,1,,
Goose,1,,
Grandmaphyll,1,,
hunny,1,,
jay,1,,
jet542jet,0,,
JoCo,1,,
jon,1,,
justme,1,,
Laura,1,,
Mar,1,,
Marbl,1,,
Merlot,0,,
mike,1,,
Murphy,1,,
Nirazz,1,,
nvk,1,,
Pop,1,,
Punches616,1,,
Quinn,1,,
Siley,1,,
Slay,1,,
SoupJr,1,,
springerpup,1,,
spudly,1,,
Stormy,0,,
Stranger,1,,
Suriel,1,,
Tina,1,,
Trick,0,,
trrr,1,,
val,0,2011-01-01,
vfo,1,,
weeminx,1,,
zmewis,1,,
